ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,5.4 Transformer. (POO y Enjambres),Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.4_Transformer.%20%28POO-y-Enjambres%29/2.TEORIA/T0.DEBATE.pdf
,5.4 Transformer. (POO y Enjambres),Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.4_Transformer.%20%28POO-y-Enjambres%29/2.TEORIA/T1.TEORIA.pdf
,5.4 Transformer. (POO y Enjambres),Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.4_Transformer.%20%28POO-y-Enjambres%29/2.TEORIA/T2.VIDEO.mp4
,5.5 Trio Dinamico StarWars,Teoria: Robotic_Locomotion_Blueprints.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/2.TEORIA/Robotic_Locomotion_Blueprints.pdf
,5.5 Trio Dinamico StarWars,Teoria: Robots_de_Cine.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/2.TEORIA/Robots_de_Cine.mp4
,5.5 Trio Dinamico StarWars,Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/2.TEORIA/T0.DEBATE.pdf
,5.5 Trio Dinamico StarWars,Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/2.TEORIA/T2.VIDEO.mp4
,5.5 Trio Dinamico StarWars,Practica: P1.1_R2D2_Presentacion.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/3.PRACTICAS/P1.1_R2D2_Presentacion.html
,5.5 Trio Dinamico StarWars,Practica: P1.2_R2D2_Simulador.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/3.PRACTICAS/P1.2_R2D2_Simulador.html
,5.5 Trio Dinamico StarWars,Practica: P2.1_BB8_Construccion.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/3.PRACTICAS/P2.1_BB8_Construccion.html
