ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,2.1 Silla Ruedas Electrica. (Traccion diferencial),Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.1_Silla-Ruedas-Electrica.%20%28Traccion-diferencial%29/2.TEORIA/T0.DEBATE.pdf
,2.1 Silla Ruedas Electrica. (Traccion diferencial),Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.1_Silla-Ruedas-Electrica.%20%28Traccion-diferencial%29/2.TEORIA/T1.TEORIA.pdf
,2.1 Silla Ruedas Electrica. (Traccion diferencial),Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.1_Silla-Ruedas-Electrica.%20%28Traccion-diferencial%29/2.TEORIA/T2.VIDEO.mp4
,2.1 Silla Ruedas Electrica. (Traccion diferencial),Practica: P1.CONSTRUCCIÓN.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.1_Silla-Ruedas-Electrica.%20%28Traccion-diferencial%29/3.PRACTICAS/P1.CONSTRUCCI%C3%93N.html
,2.1 Silla Ruedas Electrica. (Traccion diferencial),Practica: P2.1.EJEMPLO-REAL.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.1_Silla-Ruedas-Electrica.%20%28Traccion-diferencial%29/3.PRACTICAS/P2.1.EJEMPLO-REAL.html
,2.1 Silla Ruedas Electrica. (Traccion diferencial),Practica: P2.2.SIMULACIÓN-SILLA-SIGUE-RATÓN.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.1_Silla-Ruedas-Electrica.%20%28Traccion-diferencial%29/3.PRACTICAS/P2.2.SIMULACI%C3%93N-SILLA-SIGUE-RAT%C3%93N.html
,2.1 Silla Ruedas Electrica. (Traccion diferencial),Practica: P3.BLOQUES.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.1_Silla-Ruedas-Electrica.%20%28Traccion-diferencial%29/3.PRACTICAS/P3.BLOQUES.html
,2.1 Silla Ruedas Electrica. (Traccion diferencial),Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.1_Silla-Ruedas-Electrica.%20%28Traccion-diferencial%29/3.PRACTICAS/P4.JUEGO.html
,2.2 Roomba. (Bucle infinito con sensor),Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.2_Roomba.%20%28Bucle-infinito-con-sensor%29/2.TEORIA/T0.DEBATE.pdf
,2.2 Roomba. (Bucle infinito con sensor),Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.2_Roomba.%20%28Bucle-infinito-con-sensor%29/2.TEORIA/T1.TEORIA.pdf
,2.2 Roomba. (Bucle infinito con sensor),Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.2_Roomba.%20%28Bucle-infinito-con-sensor%29/2.TEORIA/T2.VIDEO.mp4
,2.2 Roomba. (Bucle infinito con sensor),Practica: P1.CONSTRUCCION.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.2_Roomba.%20%28Bucle-infinito-con-sensor%29/3.PRACTICAS/P1.CONSTRUCCION.html
,2.2 Roomba. (Bucle infinito con sensor),Practica: P2.EJEMPLO-REAL.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.2_Roomba.%20%28Bucle-infinito-con-sensor%29/3.PRACTICAS/P2.EJEMPLO-REAL.html
,2.2 Roomba. (Bucle infinito con sensor),Practica: P3.BLOQUES.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.2_Roomba.%20%28Bucle-infinito-con-sensor%29/3.PRACTICAS/P3.BLOQUES.html
,2.2 Roomba. (Bucle infinito con sensor),Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.2_Roomba.%20%28Bucle-infinito-con-sensor%29/3.PRACTICAS/P4.JUEGO.html
,2.3 Aparcamiento. (Condicion IF ELSE),Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-2_Sensores-y-Decisiones/2.3_Aparcamiento.%20%28Condicion-IF-ELSE%29/2.TEORIA/T0.DEBATE.pdf
