ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,3.1 Robot repartidor. (Tarea guardada),Cuaderno Interactivo: 3.1 Robot Repartidor (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: debate inicial (PDF), presentación teórica (PDF), vídeo demostrativo (MP4), simuladores 3D de montaje, gemelo digital con navegación, programación por bloques y juego interactivo.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-3_Movimiento-Avanzado/3.1_Robot-repartidor.%20%28Tarea-guardada%29/MAPA_CLASE_3.1_ROBOT_REPARTIDOR.html
,3.2 Coche ELEGOO. (Ver con camara),Cuaderno Interactivo: 3.2 Coche ELEGOO con Cámara (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: debate inicial (PDF), presentación teórica (PDF), vídeo demostrativo (MP4), simuladores 3D de montaje, gemelo digital con visión artificial, programación por bloques y juego interactivo.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-3_Movimiento-Avanzado/3.2_Coche-ELEGOO.%20%28Ver-con-camara%29/MAPA_CLASE_3.2_COCHE_ELEGOO.html
,3.3 Avion con servos. (El servo posicion exacta),Cuaderno Interactivo: 3.3 Avión con Servos (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: debate inicial (PDF), guía de servos (PDF), presentación teórica (PDF), vídeo demostrativo (MP4), simuladores 3D de montaje, cabina interactiva (manual, auto, sonido), simuladores de vuelo exterior, taller de averías y juego interactivo.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-3_Movimiento-Avanzado/3.3_Avion-con-servos.%20%28El-servo-posicion-exacta%29/MAPA_CLASE_3.3_AVION_SERVOS.html
,3.4 Dron. (Tres dimensiones),Cuaderno Interactivo: 3.4 Dron Cuadricóptero (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: debate inicial (PDF), presentación teórica (PDF), vídeo demostrativo (MP4), simulador 3D de físicas, simulador de vuelo completo y juego interactivo.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-3_Movimiento-Avanzado/3.4_Dron.%20%28Tres-dimensiones%29/MAPA_CLASE_3.4_DRON.html
,3.5 Penguin BOT. (Sincronizacion de servos),Cuaderno Interactivo: 3.5 Penguin BOT (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: debate inicial (PDF), presentación teórica (PDF), vídeo demostrativo (MP4), simuladores 3D de montaje bípedo, gemelo digital de marcha, programación por bloques y juego interactivo.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-3_Movimiento-Avanzado/3.5_Penguin-BOT.%20%28Sincronizacion-de-servos%29/MAPA_CLASE_3.5_PENGUIN_BOT.html
