ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,1.1 Puerta supermercado,Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.1_Puerta-supermercado/2.TEORIA/T0.DEBATE.pdf
,1.1 Puerta supermercado,Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.1_Puerta-supermercado/2.TEORIA/T1.TEORIA.pdf
,1.1 Puerta supermercado,Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.1_Puerta-supermercado/2.TEORIA/T2.VIDEO.mp4
,1.1 Puerta supermercado,Practica: P1.CONSTRUCCION.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.1_Puerta-supermercado/3.PRACTICAS/P1.CONSTRUCCION.html
,1.1 Puerta supermercado,Practica: P2.EJEMPLO-REAL.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.1_Puerta-supermercado/3.PRACTICAS/P2.EJEMPLO-REAL.html
,1.1 Puerta supermercado,Practica: P3.1.BLOQUES.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.1_Puerta-supermercado/3.PRACTICAS/P3.1.BLOQUES.html
,1.1 Puerta supermercado,Practica: P3.2.BLOQUES.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.1_Puerta-supermercado/3.PRACTICAS/P3.2.BLOQUES.html
,1.1 Puerta supermercado,Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.1_Puerta-supermercado/3.PRACTICAS/P4.JUEGO.html
,1.2 Lavadora,Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.2_Lavadora/2.TEORIA/T0.DEBATE.pdf
,1.2 Lavadora,Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.2_Lavadora/2.TEORIA/T1.TEORIA.pdf
,1.2 Lavadora,Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.2_Lavadora/2.TEORIA/T2.VIDEO.mp4
,1.2 Lavadora,Practica: P1.CONSTRUCCION.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.2_Lavadora/3.PRACTICAS/P1.CONSTRUCCION.html
,1.2 Lavadora,Practica: P2.EJEMPLO-REAL.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-1_Un-motor/1.2_Lavadora/3.PRACTICAS/P2.EJEMPLO-REAL.html
